E,M
252, -202
252, -204
252, -204
252, -204
252, -202
252, -202
252, -204
252, -204
248, -206
248, -204
248, -206
248, -208
248, -208
248, -208
248, -206
248, -204
246, -206
246, -206
246, -206
246, -206
246, -206
246, -208
246, -208
246, -208
246, -210
246, -210
248, -208
248, -206
250, -204
250, -204
250, -204
250, -204
254, -202
254, -202
256, -200
256, -198
258, -196
258, -198
254, -200
254, -200
254, -200
254, -200
254, -198
254, -196
252, -198
252, -198
252, -198
250, -200
250, -198
252, -196
250, -198
248, -200
248, -200
250, -198
250, -198
250, -196
250, -196
248, -198
244, -200
244, -200
240, -202
240, -200
236, -202
234, -204
234, -204
236, -202
238, -200
234, -202
234, -202
234, -204
234, -202
234, -202
234, -202
234, -204
234, -206
236, -204
238, -202
238, -200
238, -200
238, -200
238, -200
238, -202
238, -204
238, -204
238, -204
240, -202
240, -204
240, -202
238, -204
240, -202
240, -202
242, -200
244, -198
244, -198
244, -198
244, -198
246, -196
248, -194
248, -192
248, -192
248, -192
248, -192
248, -192
250, -190
252, -188
252, -190
252, -188
252, -188
254, -186
254, -186
254, -186
256, -184
256, -182
256, -182
256, -182
258, -180
256, -182
254, -180
254, -180
258, -178
258, -178
260, -176
260, -174
260, -172
260, -174
260, -174
260, -176
262, -178
262, -178
264, -176
264, -174
268, -172
266, -174
266, -172
264, -174
264, -174
264, -174
264, -172
264, -170
264, -170
264, -168
264, -168
266, -166
266, -166
266, -166
268, -164
266, -162
266, -162
264, -164
264, -164
264, -164
266, -162
266, -162
266, -160
266, -160
266, -158
266, -158
266, -158
266, -158
266, -158
266, -156
268, -154
268, -152
270, -154
270, -156
270, -154
270, -156
268, -158
268, -158
268, -158
268, -158
268, -158
268, -156
268, -156
268, -158
270, -156
270, -154
270, -154
272, -152
276, -150
276, -148
276, -146
276, -148
280, -146
280, -146
280, -148
280, -146
282, -144
282, -142
282, -144
282, -144
282, -146
284, -144
286, -142
286, -142
288, -140
292, -138
292, -140
292, -140
292, -142
292, -142
294, -140
296, -138
294, -136
296, -134
294, -132
294, -132
294, -130
294, -130
294, -128
294, -126
294, -126
296, -124
296, -124
298, -122
296, -124
296, -122
296, -122
294, -124
296, -122
296, -120
296, -118
296, -116
296, -118
292, -120
294, -118
292, -116
292, -116
290, -118
290, -116
290, -114
290, -114
290, -116
290, -116
290, -118
290, -118
290, -120
290, -120
290, -120
288, -118
288, -118
286, -116
286, -116
286, -116
286, -116
286, -116
286, -116
286, -116
286, -114
286, -114
290, -112
286, -114
288, -116
288, -116
288, -116
286, -118
284, -120
280, -118
280, -118
276, -116
278, -114
276, -116
276, -116
274, -118
274, -116
274, -116
276, -114
272, -112
272, -114
272, -114
270, -112
270, -112
268, -110
270, -108
268, -110
264, -112
266, -110
266, -108
264, -110
264, -112
264, -114
264, -114
264, -114
262, -116
262, -114
264, -112
262, -110
262, -108
262, -108
262, -108
262, -106
262, -104
264, -102
262, -104
262, -106
262, -106
262, -106
262, -106
262, -106
260, -104
260, -104
260, -102
260, -102
260, -102
262, -104
262, -102
260, -104
260, -106
260, -106
260, -104
258, -106
258, -104
258, -106
258, -106
258, -106
258, -106
258, -106
258, -108
258, -108
258, -108
258, -108
258, -108
258, -108
258, -106
258, -106
258, -106
256, -108
256, -108
258, -110
256, -108
256, -108
256, -108
256, -108
256, -106
254, -108
254, -108
256, -110
256, -110
254, -108
256, -106
256, -106
258, -104
260, -102
262, -100
262, -102
262, -100
262, -102
260, -104
262, -102
262, -100
262, -100
264, -98
264, -96
266, -98
264, -96
264, -94
264, -96
264, -96
266, -94
266, -94
266, -96
264, -94
264, -94
264, -94
264, -92
266, -90
266, -90
266, -92
266, -90
266, -92
266, -90
268, -88
268, -88
268, -88
266, -90
266, -90
266, -90
264, -92
264, -92
266, -90
266, -90
268, -88
268, -88
268, -86
268, -88
268, -88
268, -86
266, -84
266, -84
266, -82
266, -82
266, -82
266, -82
266, -84
266, -84
268, -82
268, -82
270, -80
270, -80
270, -80
270, -80
272, -82
274, -80
274, -80
276, -78
274, -76
276, -74
276, -72
274, -74
272, -76
272, -76
272, -76
274, -74
274, -74
274, -76
274, -76
274, -76
274, -76
274, -78
274, -78
276, -76
276, -78
276, -78
276, -80
276, -80
280, -78
284, -76
284, -76
284, -74
284, -74
284, -74
282, -76
278, -78
278, -78
276, -80
276, -80
276, -80
276, -80
276, -80
276, -78
274, -80
274, -80
274, -80
270, -82
270, -82
270, -82
270, -80
270, -80
270, -80
270, -78
270, -78
270, -78
270, -78
270, -78
270, -78
268, -76
268, -76
266, -74
266, -72
266, -72
266, -74
268, -76
268, -74
268, -76
266, -78
266, -78
266, -78
266, -80
268, -82
268, -84
268, -84
268, -84
268, -84
268, -84
268, -84
268, -86
270, -84
270, -84
270, -86
270, -86
270, -86
270, -88
270, -86
270, -84
270, -84
272, -82
272, -84
272, -84
272, -82
274, -84
276, -86
276, -86
278, -84
280, -82
278, -84
278, -84
276, -86
276, -88
276, -86
276, -86
276, -86
280, -88
280, -90
280, -88
280, -88
280, -88
280, -90
280, -90
280, -92
280, -92
280, -90
278, -92
278, -94
278, -92
278, -90
278, -88
278, -88
278, -88
278, -90
274, -92
274, -90
274, -90
272, -92
272, -90
272, -90
272, -90
272, -90
272, -88
272, -90
272, -92
272, -92
270, -90
270, -92
270, -92
270, -94
270, -94
270, -94
268, -92
268, -92
268, -92
266, -94
268, -92
268, -90
268, -90
268, -88
268, -88
268, -90
270, -88
270, -88
270, -90
270, -90
270, -92
270, -92
270, -92
270, -94
270, -96
270, -98
272, -96
272, -96
272, -98
272, -100
272, -100
272, -100
272, -100
272, -100
270, -98
270, -100
270, -100
270, -100
272, -102
272, -102
272, -100
272, -100
272, -98
274, -96
272, -94
272, -92
272, -92
272, -92
272, -94
272, -94
272, -92
276, -90
278, -92
278, -92
278, -92
278, -90
278, -90
278, -90
280, -88
280, -88
280, -88
278, -86
278, -86
278, -84
278, -84
278, -84
278, -84
278, -82
278, -84
278, -86
278, -86
280, -88
282, -90
282, -88
282, -88
284, -86
284, -88
286, -90
286, -92
286, -90
284, -92
284, -92
284, -90
280, -92
280, -92
280, -92
280, -94
280, -96
280, -98
280, -96
280, -96
280, -96
280, -98
282, -100
282, -100
282, -102
284, -100
284, -98
282, -100
282, -100
280, -102
278, -104
278, -106
276, -104
