M1, M2
1.00000, 0.15520
1.00000, 0.15240
1.00000, 0.15440
1.00000, 0.15620
1.00000, 0.15720
1.00000, 0.15580
1.00000, 0.16040
1.00000, 0.16280
1.00000, 0.16140
1.00000, 0.16200
1.00000, 0.16220
1.00000, 0.16380
1.00000, 0.16500
1.00000, 0.16420
1.00000, 0.15840
1.00000, 0.15960
1.00000, 0.16260
1.00000, 0.16260
1.00000, 0.16220
1.00000, 0.16200
1.00000, 0.16160
1.00000, 0.16000
1.00000, 0.16180
1.00000, 0.16400
1.00000, 0.16200
1.00000, 0.16380
1.00000, 0.16440
1.00000, 0.16840
1.00000, 0.16840
1.00000, 0.17120
1.00000, 0.16760
1.00000, 0.17380
1.00000, 0.17660
1.00000, 0.17540
1.00000, 0.17420
1.00000, 0.17700
1.00000, 0.17600
1.00000, 0.17720
1.00000, 0.17660
1.00000, 0.17880
1.00000, 0.17980
1.00000, 0.18300
1.00000, 0.18660
1.00000, 0.19100
1.00000, 0.19300
1.00000, 0.19420
1.00000, 0.19880
1.00000, 0.19780
1.00000, 0.19480
1.00000, 0.19800
1.00000, 0.19780
1.00000, 0.19820
1.00000, 0.20040
1.00000, 0.19940
1.00000, 0.20020
1.00000, 0.20120
1.00000, 0.20380
1.00000, 0.20340
1.00000, 0.20940
1.00000, 0.21180
1.00000, 0.21140
1.00000, 0.21440
1.00000, 0.21440
1.00000, 0.21260
1.00000, 0.21800
1.00000, 0.21820
1.00000, 0.21780
1.00000, 0.21740
1.00000, 0.21840
1.00000, 0.22160
1.00000, 0.22000
1.00000, 0.21800
1.00000, 0.21960
1.00000, 0.22000
1.00000, 0.22140
1.00000, 0.22160
1.00000, 0.22200
1.00000, 0.22240
1.00000, 0.22300
1.00000, 0.22300
1.00000, 0.22420
1.00000, 0.22760
1.00000, 0.22820
1.00000, 0.22720
1.00000, 0.22900
1.00000, 0.22800
1.00000, 0.23460
1.00000, 0.23660
1.00000, 0.23840
1.00000, 0.23720
1.00000, 0.24360
1.00000, 0.24660
1.00000, 0.25000
1.00000, 0.24800
1.00000, 0.25060
1.00000, 0.24820
1.00000, 0.24520
1.00000, 0.24400
1.00000, 0.24420
1.00000, 0.24360
1.00000, 0.24080
1.00000, 0.24040
1.00000, 0.24300
1.00000, 0.24360
1.00000, 0.24440
1.00000, 0.25180
1.00000, 0.25360
